s2_id,lon,lat,time,cs_cdf,base_date,days_diff,abs_days_diff,corine,class,query_day,ARCHIVNR,Operat,vector_url,RGB_raster,NIR_raster,prevTime,Date,id
20230819T101609_20230819T102334_T32TNT,9.514963996929232,47.270250827086265,2023-08-19,0.9254901960784314,2023-08-11,8,8,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,0
20230824T101601_20230824T101604_T32TNT,9.514963996929232,47.270250827086265,2023-08-24,0.9137254901960784,2023-08-11,13,13,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,0
20230720T101609_20230720T102132_T32TNT,9.514963996929232,47.270250827086265,2023-07-20,0.8901960784313725,2023-08-11,-22,22,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,0
20230715T101601_20230715T101733_T32TNT,9.514963996929232,47.270250827086265,2023-07-15,0.9254901960784314,2023-08-11,-27,27,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,0
20230908T101559_20230908T102441_T32TNT,9.514963996929232,47.270250827086265,2023-09-08,0.9098039215686274,2023-08-11,28,28,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,0
20230625T101601_20230625T102734_T32TNT,9.514963996929232,47.270250827086265,2023-06-25,0.9176470588235294,2023-08-11,-47,47,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,0
20230928T101719_20230928T102123_T32TNT,9.514963996929232,47.270250827086265,2023-09-28,0.9098039215686274,2023-08-11,48,48,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,0
20231003T101841_20231003T102549_T32TNT,9.514963996929232,47.270250827086265,2023-10-03,0.8862745098039215,2023-08-11,53,53,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,0
20230819T101609_20230819T102334_T32TNT,9.532692377252534,47.25931246431839,2023-08-19,0.9176470588235294,2023-08-11,8,8,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,1
20230824T101601_20230824T101604_T32TNT,9.532692377252534,47.25931246431839,2023-08-24,0.9098039215686274,2023-08-11,13,13,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,1
20230720T101609_20230720T102132_T32TNT,9.532692377252534,47.25931246431839,2023-07-20,0.9019607843137255,2023-08-11,-22,22,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,1
20230903T101601_20230903T102222_T32TNT,9.532692377252534,47.25931246431839,2023-09-03,0.807843137254902,2023-08-11,23,23,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,1
20230715T101601_20230715T101733_T32TNT,9.532692377252534,47.25931246431839,2023-07-15,0.9215686274509803,2023-08-11,-27,27,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,1
20230908T101559_20230908T102441_T32TNT,9.532692377252534,47.25931246431839,2023-09-08,0.9098039215686274,2023-08-11,28,28,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,1
20230625T101601_20230625T102734_T32TNT,9.532692377252534,47.25931246431839,2023-06-25,0.9019607843137255,2023-08-11,-47,47,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,1
20230928T101719_20230928T102123_T32TNT,9.532692377252534,47.25931246431839,2023-09-28,0.8901960784313725,2023-08-11,48,48,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,1
20230814T102031_20230814T102027_T32TNT,9.531864457635212,47.27081571529853,2023-08-14,0.8745098039215686,2023-08-11,3,3,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,2
20230819T101609_20230819T102334_T32TNT,9.531864457635212,47.27081571529853,2023-08-19,0.9254901960784314,2023-08-11,8,8,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,2
20230824T101601_20230824T101604_T32TNT,9.531864457635212,47.27081571529853,2023-08-24,0.9176470588235294,2023-08-11,13,13,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,2
20230720T101609_20230720T102132_T32TNT,9.531864457635212,47.27081571529853,2023-07-20,0.8941176470588236,2023-08-11,-22,22,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,2
20230715T101601_20230715T101733_T32TNT,9.531864457635212,47.27081571529853,2023-07-15,0.9254901960784314,2023-08-11,-27,27,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,2
20230908T101559_20230908T102441_T32TNT,9.531864457635212,47.27081571529853,2023-09-08,0.9176470588235294,2023-08-11,28,28,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,2
20230625T101601_20230625T102734_T32TNT,9.531864457635212,47.27081571529853,2023-06-25,0.9215686274509803,2023-08-11,-47,47,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,2
20230928T101719_20230928T102123_T32TNT,9.531864457635212,47.27081571529853,2023-09-28,0.9294117647058824,2023-08-11,48,48,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,2
20230814T102031_20230814T102027_T32TNT,9.5310361777907,47.2823189465435,2023-08-14,0.8901960784313725,2023-08-11,3,3,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,3
20230819T101609_20230819T102334_T32TNT,9.5310361777907,47.2823189465435,2023-08-19,0.9254901960784314,2023-08-11,8,8,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,3
20230824T101601_20230824T101604_T32TNT,9.5310361777907,47.2823189465435,2023-08-24,0.9137254901960784,2023-08-11,13,13,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,3
20230720T101609_20230720T102132_T32TNT,9.5310361777907,47.2823189465435,2023-07-20,0.8862745098039215,2023-08-11,-22,22,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,3
20230903T101601_20230903T102222_T32TNT,9.5310361777907,47.2823189465435,2023-09-03,0.8274509803921568,2023-08-11,23,23,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,3
20230715T101601_20230715T101733_T32TNT,9.5310361777907,47.2823189465435,2023-07-15,0.9215686274509803,2023-08-11,-27,27,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,3
20230908T101559_20230908T102441_T32TNT,9.5310361777907,47.2823189465435,2023-09-08,0.9098039215686274,2023-08-11,28,28,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,3
20230625T101601_20230625T102734_T32TNT,9.5310361777907,47.2823189465435,2023-06-25,0.9137254901960784,2023-08-11,-47,47,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,3
20230819T101609_20230819T102334_T32TNT,9.530207537484022,47.293822157589794,2023-08-19,0.9254901960784314,2023-08-11,8,8,4,4,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,4
20230824T101601_20230824T101604_T32TNT,9.530207537484022,47.293822157589794,2023-08-24,0.9176470588235294,2023-08-11,13,13,4,4,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,4
20230720T101609_20230720T102132_T32TNT,9.530207537484022,47.293822157589794,2023-07-20,0.8549019607843137,2023-08-11,-22,22,4,4,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,4
20230903T101601_20230903T102222_T32TNT,9.530207537484022,47.293822157589794,2023-09-03,0.8627450980392157,2023-08-11,23,23,4,4,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,4
20230715T101601_20230715T101733_T32TNT,9.530207537484022,47.293822157589794,2023-07-15,0.9254901960784314,2023-08-11,-27,27,4,4,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,4
20230908T101559_20230908T102441_T32TNT,9.530207537484022,47.293822157589794,2023-09-08,0.9058823529411765,2023-08-11,28,28,4,4,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,4
20230625T101601_20230625T102734_T32TNT,9.530207537484022,47.293822157589794,2023-06-25,0.9215686274509803,2023-08-11,-47,47,4,4,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,4
20230928T101719_20230928T102123_T32TNT,9.530207537484022,47.293822157589794,2023-09-28,0.8666666666666667,2023-08-11,48,48,4,4,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,4
20230819T101609_20230819T102334_T32TNT,9.556170674501631,47.167847094178896,2023-08-19,0.9254901960784314,2023-08-11,8,8,5,5,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,5
20230824T101601_20230824T101604_T32TNT,9.556170674501631,47.167847094178896,2023-08-24,0.9098039215686274,2023-08-11,13,13,5,5,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,5
20230715T101601_20230715T101733_T32TNT,9.556170674501631,47.167847094178896,2023-07-15,0.9215686274509803,2023-08-11,-27,27,5,5,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,5
20230710T101609_20230710T102211_T32TNT,9.556170674501631,47.167847094178896,2023-07-10,0.9098039215686274,2023-08-11,-32,32,5,5,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,5
20230625T101601_20230625T102734_T32TNT,9.556170674501631,47.167847094178896,2023-06-25,0.9215686274509803,2023-08-11,-47,47,5,5,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,5
20230928T101719_20230928T102123_T32TNT,9.556170674501631,47.167847094178896,2023-09-28,0.9019607843137255,2023-08-11,48,48,5,5,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,5
20231003T101841_20231003T102549_T32TNT,9.556170674501631,47.167847094178896,2023-10-03,0.8862745098039215,2023-08-11,53,53,5,5,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,5
20231008T101829_20231008T102305_T32TNT,9.556170674501631,47.167847094178896,2023-10-08,0.8705882352941177,2023-08-11,58,58,5,5,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,5
20230819T101609_20230819T102334_T32TNT,9.552882962929507,47.213861050652845,2023-08-19,0.9254901960784314,2023-08-11,8,8,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,7
20230824T101601_20230824T101604_T32TNT,9.552882962929507,47.213861050652845,2023-08-24,0.9137254901960784,2023-08-11,13,13,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,7
